Tm,#Bat,BatAge,R/G,G,PA,AB,Adj. Runs,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,Adj. Runs,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,
ARI,45,29.1,4.48,60,2238,1997,725.76,269,482,101,12,58,255,23,7,181,461,0.241,0.312,0.391,0.704,88,781,37,36,1,23,5,399,26,27.7,4.92,25,35,0.417,4.84,60,60,60,0,0,0,13,518.1,506,797.04,295,279,93,235,20,524,23,1,23,2279,96,4.99,1.43,8.8,1.6,4.1,9.1,2.23,429
ATL,48,28.2,5.8,60,2344,2074,939.6,348,556,130,3,103,338,23,4,239,573,0.268,0.349,0.483,0.832,113,1001,39,23,1,7,13,437,29,28.5,4.8,35,25,0.583,4.41,60,60,60,0,0,0,13,524.1,494,777.6,288,257,69,220,13,506,33,2,23,2276,110,4.42,1.362,8.5,1.2,3.8,8.7,2.3,415
BAL,45,26.3,4.57,60,2242,2026,740.34,274,523,102,7,77,264,19,14,164,514,0.258,0.321,0.429,0.75,104,870,32,27,15,10,5,399,27,28.3,4.9,25,35,0.417,4.51,60,60,60,0,0,0,11,518.2,489,793.8,294,260,79,192,2,487,34,4,35,2246,102,4.6,1.313,8.5,1.4,3.3,8.5,2.54,396
BOS,47,27,4.87,60,2304,2083,788.94,292,552,118,7,81,278,31,9,187,545,0.265,0.33,0.445,0.775,107,927,51,21,4,9,8,422,30,29.1,5.85,24,36,0.4,5.58,60,60,60,0,0,0,14,524,587,947.7,351,325,98,252,4,537,31,3,28,2389,86,5.19,1.601,10.1,1.7,4.3,9.2,2.13,466
CHC,47,27.9,4.42,60,2214,1918,716.04,265,422,82,8,74,248,24,10,229,568,0.22,0.318,0.387,0.705,93,742,42,52,1,13,9,406,26,30.3,4,34,26,0.567,3.99,60,60,58,2,2,2,16,518.1,451,648,240,230,74,182,7,523,17,4,22,2153,109,4.18,1.221,7.8,1.3,3.2,9.1,2.87,358
CHW,48,27.6,5.1,60,2267,2047,826.2,306,534,94,6,96,294,20,8,179,571,0.261,0.326,0.453,0.779,111,928,44,24,1,13,1,397,28,27.6,4.1,35,25,0.583,3.81,60,60,59,1,1,1,13,527,448,664.2,246,223,71,217,6,523,23,0,24,2235,119,4.32,1.262,7.7,1.2,3.7,8.9,2.41,408
CIN,43,29.1,4.05,60,2123,1842,656.1,243,390,76,3,90,237,29,9,239,534,0.212,0.312,0.403,0.715,84,742,44,33,0,7,4,369,23,28.6,4.05,31,29,0.517,3.84,60,60,57,3,2,2,9,504,401,656.1,243,215,67,213,6,615,29,5,23,2125,128,3.92,1.218,7.2,1.2,3.8,11,2.89,370
CLE,39,27.9,4.13,60,2247,1959,669.06,248,446,96,5,59,234,25,10,239,517,0.228,0.317,0.372,0.689,86,729,40,24,7,16,4,404,18,27.6,3.48,35,25,0.583,3.29,60,60,59,1,0,0,20,536,440,563.76,209,196,68,157,8,621,27,1,20,2176,140,3.55,1.114,7.4,1.1,2.6,10.4,3.96,359
COL,40,28.7,4.58,60,2257,2057,741.96,275,528,84,16,63,264,42,9,161,543,0.257,0.311,0.405,0.716,81,833,41,10,7,19,12,389,24,27.3,5.88,26,34,0.433,5.59,60,60,59,1,0,0,16,526.1,579,952.56,353,327,83,205,5,393,40,1,29,2335,94,5.14,1.49,9.9,1.4,3.5,6.7,1.92,403
DET,45,27.5,4.29,58,2076,1893,694.98,249,463,78,12,62,242,19,6,147,567,0.245,0.303,0.397,0.7,90,751,42,19,1,14,1,333,23,26.6,5.48,23,35,0.397,5.63,58,58,57,1,0,0,11,492.1,511,887.76,318,308,91,192,2,444,34,0,18,2174,83,5.17,1.428,9.3,1.7,3.5,8.1,2.31,379
HOU,43,29.2,4.65,60,2229,1992,753.3,279,478,103,12,69,268,22,11,192,440,0.24,0.312,0.408,0.72,94,812,39,23,6,13,5,382,26,27,4.58,29,31,0.483,4.31,60,60,60,0,0,0,16,524,472,741.96,275,251,70,217,7,526,29,4,25,2239,105,4.33,1.315,8.1,1.2,3.7,9,2.42,392
KCR,48,27.8,4.13,60,2200,1988,669.06,248,485,97,7,68,237,49,20,172,527,0.244,0.309,0.402,0.711,92,800,28,18,8,10,3,392,27,27.1,4.53,26,34,0.433,4.3,60,60,59,1,1,1,19,517,500,733.86,272,247,76,211,7,517,29,3,28,2233,109,4.49,1.375,8.7,1.3,3.7,9,2.45,410
LAA,45,28.5,4.9,60,2308,2020,793.8,294,501,97,8,85,285,21,8,239,490,0.248,0.332,0.43,0.763,105,869,49,25,6,18,8,425,25,27.4,5.35,26,34,0.433,5.09,60,60,59,1,0,0,12,525.1,492,866.7,321,297,82,199,8,523,21,1,25,2256,93,4.49,1.315,8.4,1.4,3.4,9,2.63,359
LAD,38,28,5.82,60,2316,2042,942.84,349,523,97,6,118,327,29,8,228,471,0.256,0.338,0.483,0.821,121,986,46,30,3,12,7,391,21,27.6,3.55,43,17,0.717,3.02,60,60,60,0,0,0,15,538.2,424,575.1,213,181,66,145,4,517,21,0,24,2172,141,3.79,1.056,7.1,1.1,2.4,8.6,3.57,343
MIA,61,29,4.38,60,2167,1935,709.56,263,472,82,5,60,247,51,14,191,537,0.244,0.319,0.384,0.703,88,744,37,25,6,9,6,396,37,27.5,5.07,31,29,0.517,4.86,60,60,59,1,0,0,18,504,506,821.34,304,272,82,226,14,451,26,4,11,2214,97,5.02,1.452,9,1.5,4,8.1,2,398
MIL,43,28.5,4.12,60,2188,1920,667.44,247,429,83,5,75,238,15,11,221,582,0.223,0.313,0.389,0.702,88,747,53,35,0,10,8,384,25,28,4.4,29,31,0.483,4.16,60,60,59,1,0,0,14,517.1,446,712.8,264,239,67,189,1,614,35,2,21,2186,111,3.8,1.227,7.8,1.2,3.3,10.7,3.25,370
MIN,43,28.7,4.48,60,2168,1937,725.76,269,468,81,3,91,258,14,7,186,528,0.242,0.315,0.427,0.743,105,828,38,29,2,14,9,372,24,30,3.58,36,24,0.6,3.58,60,60,60,0,0,0,17,513.1,448,579.96,215,204,62,170,0,535,21,1,20,2130,120,3.79,1.204,7.9,1.1,3,9.4,3.15,375
NYM,47,27.8,4.77,60,2279,2023,772.74,286,551,106,7,86,278,20,10,197,498,0.272,0.348,0.459,0.807,120,929,53,45,1,13,8,445,25,29.2,5.13,26,34,0.433,4.98,60,60,60,0,0,0,11,513.1,511,831.06,308,284,81,219,7,574,29,0,24,2262,88,4.46,1.422,9,1.4,3.8,10.1,2.62,414
NYY,43,28.5,5.25,60,2210,1915,850.5,315,473,87,7,94,301,27,7,251,480,0.247,0.342,0.447,0.789,118,856,51,30,1,11,5,399,25,29.2,4.5,33,27,0.55,4.35,60,60,58,2,1,1,14,500.2,455,729,270,242,83,168,5,528,25,2,22,2133,98,4.39,1.244,8.2,1.5,3,9.5,3.14,361
OAK,38,28.1,4.57,60,2201,1908,740.34,274,430,91,11,71,264,26,3,238,524,0.225,0.322,0.396,0.718,103,756,44,39,2,14,5,391,19,29.9,3.87,36,24,0.6,3.77,60,60,59,1,1,1,17,515.1,471,626.94,232,216,69,165,6,506,15,1,16,2164,109,4.02,1.234,8.2,1.2,2.9,8.8,3.07,386
PHI,46,28.5,5.1,60,2223,1948,826.2,306,500,90,10,82,289,35,8,229,480,0.257,0.342,0.439,0.781,111,856,40,28,8,10,16,419,29,29.1,5.18,28,32,0.467,5.14,60,60,57,3,2,2,11,497,550,839.16,311,284,80,185,12,532,28,3,14,2197,86,4.43,1.479,10,1.4,3.4,9.6,2.88,395
PIT,49,27.1,3.65,60,2134,1932,591.3,219,425,76,6,59,210,16,11,167,521,0.22,0.284,0.357,0.641,73,690,34,11,7,15,6,345,29,27.7,4.97,19,41,0.317,4.68,60,60,59,1,0,0,6,513,451,805.14,298,267,80,249,3,536,37,2,28,2227,98,4.8,1.365,7.9,1.4,4.4,9.4,2.15,390
SDP,47,26.7,5.42,60,2231,1972,878.04,325,506,103,12,95,312,55,13,204,479,0.257,0.333,0.466,0.798,122,918,37,28,12,14,6,363,24,27.8,4.02,37,23,0.617,3.86,60,60,59,1,1,1,13,520.1,456,651.24,241,223,70,170,2,565,22,3,19,2160,107,3.88,1.203,7.9,1.2,2.9,9.8,3.32,358
SEA,49,26.6,4.23,60,2181,1929,685.26,254,435,88,5,60,244,50,16,207,545,0.226,0.309,0.37,0.678,90,713,35,30,3,12,5,373,29,26.6,5.05,27,33,0.45,5.03,60,60,59,1,0,0,15,516.2,482,818.1,303,289,79,230,7,469,37,1,23,2249,86,4.91,1.378,8.4,1.4,4,8.2,2.04,396
SFG,45,29.8,4.98,60,2259,2019,806.76,299,532,107,14,81,290,19,8,195,499,0.263,0.335,0.451,0.785,116,910,51,27,4,13,8,404,23,29,4.95,29,31,0.483,4.64,60,60,59,1,0,0,13,517.2,474,801.9,297,267,69,210,2,488,34,5,20,2240,92,4.45,1.321,8.2,1.2,3.7,8.5,2.32,390
STL,44,28.8,4.14,58,2011,1752,670.68,240,410,73,7,51,231,18,10,205,477,0.234,0.323,0.371,0.694,92,650,38,33,4,16,3,358,26,27.6,3.95,30,28,0.517,3.9,58,58,56,2,0,0,13,473,376,639.9,229,205,69,204,8,464,26,1,21,1989,110,4.58,1.226,7.2,1.3,3.9,8.8,2.27,341
TBR,43,27.1,4.82,60,2261,1975,780.84,289,470,105,12,80,274,48,9,243,608,0.238,0.328,0.425,0.753,111,839,38,28,0,14,9,416,25,28.1,3.82,40,20,0.667,3.56,60,60,60,0,0,0,23,527.2,475,618.84,229,209,70,168,4,552,29,1,30,2212,117,3.94,1.219,8.1,1.2,2.9,9.4,3.29,400
TEX,49,27.4,3.73,60,2147,1936,604.26,224,420,80,9,62,204,49,14,167,548,0.217,0.285,0.364,0.648,74,704,33,24,2,18,3,350,25,28.7,5.2,22,38,0.367,5.02,60,60,58,2,1,1,10,516.2,479,842.4,312,288,81,236,3,489,30,2,21,2273,95,4.88,1.384,8.3,1.4,4.1,8.5,2.07,411
TOR,49,25.9,5.03,60,2263,2023,814.86,302,516,104,4,88,288,33,6,203,508,0.255,0.325,0.441,0.766,109,892,39,12,8,14,4,392,29,29.5,5.2,32,28,0.533,4.6,60,60,60,0,0,0,17,524.2,517,842.4,312,268,81,250,7,519,14,2,15,2309,95,4.73,1.462,8.9,1.4,4.3,8.9,2.08,423
