,Teams,Implied Win % (2016),Implied Win % (2017),Implied Win % (2018),Implied Win % (2019),Implied Win % (2020)
0,ARI,0.42352295534092793,0.5943702283954777,0.5334988002328822,0.5410981092098549,0.4572435687737447
1,ATL,0.41723890572536565,0.447697295398261,0.5656442624253728,0.5638844015224265,0.5857231722774054
2,BAL,0.5181814901991046,0.44355933167310124,0.3407929302955489,0.36741451844936945,0.4681453880248474
3,BOS,0.6059619169407504,0.5733063349126162,0.6351850714195734,0.5385783085442878,0.41689659137046214
4,CHC,0.6646403632318666,0.5761836557371701,0.5750904390333869,0.557790250704699,0.5455525782865197
5,CHW,0.4810663091130325,0.43194228172008814,0.38466421643190707,0.4266968869950082,0.5985444624927413
6,CIN,0.4200570066746774,0.4348233323374334,0.42609440241124846,0.4935200845027688,0.5
7,CLE,0.5633631273508606,0.6638299302703246,0.6049989027526039,0.5715198297127254,0.5777097136585136
8,COL,0.49195063442570114,0.5387216387182546,0.5209913425534082,0.4374613762285287,0.3876408458328512
9,DET,0.518033261384948,0.4113521286408332,0.394604195499355,0.3040702163516811,0.3898321994536945
10,HOU,0.5147654092977852,0.6110561685059698,0.6754281105398033,0.6601846200913163,0.5069390157882292
11,KCR,0.47560479692283597,0.4456068202131326,0.380352454514704,0.3966502723521638,0.45780720705979494
12,LAA,0.49366367283204976,0.5006448200452469,0.4993659046043367,0.4448220536558117,0.45988980401115775
13,LAD,0.5582185056782601,0.6268093968661068,0.6237126701150488,0.6624170728678764,0.7119072921340572
14,MIA,0.48152796267220843,0.47485239085452485,0.3587503513476511,0.3776629215172612,0.4334682602485747
15,MIL,0.4596556215660412,0.52240025523011,0.5613010469085081,0.5017882682675074,0.4699549856078896
16,MIN,0.4059407287917922,0.5154083053482305,0.47763439872445046,0.599058636608029,0.6011828884074908
17,NYM,0.5383090741442359,0.4270748299801243,0.4794983039309861,0.5323047956156277,0.46676168725299316
18,NYY,0.48543704292879,0.617777770008758,0.608342274343906,0.609710647293766,0.570059948458501
19,OAK,0.4304310009493259,0.44925698228076416,0.5849498662045346,0.5981003713374519,0.5754819692786427
20,PHI,0.3805919126585134,0.4429869020712325,0.4668207081322086,0.48833056812927866,0.49287971505763434
21,PIT,0.48216065888834847,0.4588608936572428,0.4993393504501645,0.4166689344645134,0.3624127000988264
22,SDP,0.44734876888667513,0.3657397168055393,0.40173514410556727,0.43371788719873083,0.633399689255327
23,SEA,0.5377900688400974,0.48677614492606497,0.4775969807660703,0.4255714547055982,0.419640136837879
24,SFG,0.5569288987158342,0.4120556323375195,0.432820586272458,0.44029346727814744,0.5027643306981532
25,STL,0.5410517907737533,0.5349123615658724,0.5428365745690759,0.5651876120605869,0.521480216309894
26,TBR,0.4729319305369752,0.4934551978185334,0.5469293629281836,0.5722023123705239,0.6048029054795222
27,TEX,0.5048093571997316,0.49036925657477504,0.4361663089579811,0.4631865896348483,0.35251140179202467
28,TOR,0.559517270143786,0.4437926743909884,0.42732885788714187,0.4401440286612766,0.4847980083761349
29,WSN,0.5995431961233919,0.589529599670679,0.5558819262195488,0.5847913177412033,0.48706263177710135
