,Tm,RS 2016,RA 2016,RS 2017,RA 2017,RS 2018,RA 2018,RS 2019,RA 2019,RS 2020,RA 2020
0,ARI,752.0,890.0,812.0,659.0,693.0,644.0,813,743,725.76,797.04
1,ATL,649.0,779.0,732.0,821.0,759.0,657.0,855,743,939.6,777.6
2,BAL,744.0,715.0,743.0,841.0,622.0,892.0,729,981,740.34,793.8
3,BOS,878.0,694.0,785.0,668.0,876.0,647.0,901,828,788.94,947.7
4,CHC,808.0,556.0,822.0,695.0,761.0,645.0,814,717,716.04,648.0
5,CHW,686.0,715.0,706.0,820.0,656.0,848.0,708,832,826.2,664.2
6,CIN,716.0,854.0,753.0,869.0,696.0,819.0,701,711,656.1,656.1
7,CLE,777.0,676.0,818.0,564.0,818.0,648.0,769,657,669.06,563.76
8,COL,845.0,860.0,824.0,757.0,780.0,745.0,835,958,741.96,952.56
9,DET,750.0,721.0,735.0,894.0,630.0,796.0,582,915,694.98,887.76
10,HOU,724.0,701.0,896.0,700.0,797.0,534.0,920,640,753.3,741.96
11,KCR,675.0,712.0,702.0,791.0,638.0,833.0,691,869,669.06,733.86
12,LAA,717.0,727.0,710.0,709.0,721.0,722.0,769,868,793.8,866.7
13,LAD,725.0,638.0,770.0,580.0,804.0,610.0,886,613,942.84,575.1
14,MIA,655.0,682.0,778.0,822.0,589.0,809.0,615,808,709.56,821.34
15,MIL,671.0,733.0,732.0,697.0,754.0,659.0,769,766,667.44,712.8
16,MIN,722.0,889.0,815.0,788.0,738.0,775.0,939,754,725.76,579.96
17,NYM,671.0,617.0,735.0,863.0,676.0,707.0,791,737,772.74,831.06
18,NYY,680.0,702.0,858.0,660.0,851.0,669.0,943,739,850.5,729.0
19,OAK,653.0,761.0,739.0,826.0,813.0,674.0,845,680,740.34,626.94
20,PHI,610.0,796.0,690.0,782.0,677.0,728.0,774,794,826.2,839.16
21,PIT,729.0,758.0,668.0,731.0,692.0,693.0,758,911,591.3,805.14
22,SDP,686.0,770.0,604.0,816.0,617.0,767.0,682,789,878.04,651.24
23,SEA,768.0,707.0,750.0,772.0,677.0,711.0,758,893,685.26,818.1
24,SFG,715.0,631.0,639.0,776.0,603.0,699.0,678,773,806.76,801.9
25,STL,779.0,712.0,761.0,705.0,759.0,691.0,764,662,670.68,639.9
26,TBR,672.0,713.0,694.0,704.0,716.0,646.0,769,656,780.84,618.84
27,TEX,765.0,757.0,799.0,816.0,737.0,848.0,810,878,604.26,842.4
28,TOR,759.0,666.0,693.0,784.0,709.0,832.0,726,828,814.86,842.4
29,WSN,763.0,612.0,819.0,672.0,771.0,682.0,873,724,790.56,813.24
